run_id,phase,task,dataset,model,sequence_length,memory_budget,retrieval_k,seed,config_path,run_dir,external_role
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2026,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,64,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2026,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2027,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,32,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2027,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2027,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,64,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2027,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2028,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,32,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2028,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2028,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,64,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2028,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2029,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,32,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2029,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2029,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,64,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2029,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2030,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,32,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b32_s2030,
synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2030,synthetic-primary,variable_delay_recall,synthetic,gru_uniform,8192,64,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_uniform_l8192_b64_s2030,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2026,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,32,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2026,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2026,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,64,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2026,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2027,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,32,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2027,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2027,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,64,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2027,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2028,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,32,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2028,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2028,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,64,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2028,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2029,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,32,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2029,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2029,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,64,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2029,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2030,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,32,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b32_s2030,
synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2030,synthetic-primary,variable_delay_recall,synthetic,gru_reservoir,8192,64,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_reservoir_l8192_b64_s2030,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2026,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,32,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2026,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2026,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,64,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2026,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2027,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,32,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2027,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2027,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,64,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2027,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2028,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,32,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2028,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2028,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,64,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2028,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2029,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,32,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2029,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2029,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,64,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2029,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2030,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,32,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b32_s2030,
synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2030,synthetic-primary,variable_delay_recall,synthetic,memory_caching,8192,64,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_memory_caching_l8192_b64_s2030,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2026,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,32,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2026,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2026,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,64,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2026,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2027,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,32,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2027,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2027,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,64,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2027,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2028,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,32,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2028,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2028,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,64,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2028,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2029,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,32,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2029,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2029,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,64,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2029,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2030,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,32,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b32_s2030,
synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2030,synthetic-primary,variable_delay_recall,synthetic,budgetmem_r,8192,64,4,2030,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2030.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_budgetmem_r_l8192_b64_s2030,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2026,synthetic-primary,variable_delay_recall,synthetic,gru,16384,32,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2026,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2026,synthetic-primary,variable_delay_recall,synthetic,gru,16384,64,4,2026,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2026.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2026,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2027,synthetic-primary,variable_delay_recall,synthetic,gru,16384,32,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2027,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2027,synthetic-primary,variable_delay_recall,synthetic,gru,16384,64,4,2027,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2027.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2027,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2028,synthetic-primary,variable_delay_recall,synthetic,gru,16384,32,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2028,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2028,synthetic-primary,variable_delay_recall,synthetic,gru,16384,64,4,2028,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2028.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2028,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2029,synthetic-primary,variable_delay_recall,synthetic,gru,16384,32,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b32_s2029,
synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2029,synthetic-primary,variable_delay_recall,synthetic,gru,16384,64,4,2029,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/configs/experiments/section18/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2029.yaml,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/runs/synthetic-primary/synthetic_primary_variable_delay_recall_synthetic_gru_l16384_b64_s2029,
